Symbol,Security,GICS Sector,GICS Sub Industry,,,,,
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,,,,,
CBS,CBS Corp.,Communication Services,Broadcasting,,,,,
CHTR,Charter Communications,Communication Services,Cable & Satellite,,,,,
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,,,,,
CTL,CenturyLink Inc,Communication Services,Integrated Telecommunication Services,,,,,
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,,,,,
DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,,,,,
DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,,,,,
DISH,Dish Network,Communication Services,Cable & Satellite,,,,,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,,,,,
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,,,,,
FOX,Fox Corporation Class B,Communication Services,Movies & Entertainment,,,,,
FOXA,Fox Corporation Class A,Communication Services,Movies & Entertainment,,,,,
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,,,,,
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,,,,,
IPG,Interpublic Group,Communication Services,Advertising,,,,,
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,,,,,
NWS,News Corp. Class B,Communication Services,Publishing,,,,,
NWSA,News Corp. Class A,Communication Services,Publishing,,,,,
OMC,Omnicom Group,Communication Services,Advertising,,,,,
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,,,,,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,,,,,
TRIP,TripAdvisor,Communication Services,Interactive Media & Services,,,,,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,,,,,
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,,,,,
VIAB,Viacom Inc.,Communication Services,Movies & Entertainment,,,,,
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,,,,,
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,,,,,
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,,,,,
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,,,,,
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,,,,,
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,,,,,
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,,,,,
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,,,,,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,,,,,
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,,,,,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,,,,,
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,,,,,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,,,,,
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,,,,,
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,,,,,
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,,,,,
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,,,,,
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,,,,,
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,,,,,
HRB,Block H&R,Consumer Discretionary,Specialized Consumer Services,,,,,
JWN,Nordstrom,Consumer Discretionary,Department Stores,,,,,
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,,,,,
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,,,,,
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,,,,,
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,,,,,
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,,,,,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,,,,,
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,,,,,
LVS,Las Vegas Sands Corp,Consumer Discretionary,Casinos & Gaming,,,,,
M,Macy's Inc.,Consumer Discretionary,Department Stores,,,,,
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,,,,,
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,,,,,
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,,,,,
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
NVR,NVR Inc,Consumer Discretionary,Homebuilding,,,,,
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,,,,,
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,,,,,
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,,,,,
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,,,,,
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,,,,,
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,,,,,
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,,,,,
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,,,,,
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,,,,,
